time_obs,component,pred,ref,abs_error,ordinary_relative_error,relative_error_with_floor,peak_normalized_error,pass_5pct
1e-05,Ex,0.0009215322803511042,0.000895504944529561,2.602733582154318e-05,0.029064424468606614,0.029064424468606614,0.02901303325870165,True
1.25e-05,Ex,0.0009489070200083702,0.0008960114369673489,5.289558304102135e-05,0.05903449538551916,0.05903449538551916,0.0589634421490542,False
1.5625e-05,Ex,0.0009654868534944502,0.0008964200484377166,6.906680505673363e-05,0.07704736766776184,0.07704736766776184,0.07698972825811363,False
1.953125e-05,Ex,0.0009755372927685863,0.0008965202387598551,7.901705400873121e-05,0.08813750163413431,0.08813750163413431,0.08808140916452883,False
2.44140625e-05,Ex,0.0009815834984040798,0.0008970911655277205,8.449233287635932e-05,0.09418477867481403,0.09418477867481403,0.09418477867481403,False
1e-05,Ey,1.3414484817748763e-05,1.5162385615708813e-21,1.3414484817748761e-05,8847212541442582.0,1341448481.774876,1341448481.774876,False
1.25e-05,Ey,1.3016495495962014e-05,-2.101350461691214e-21,1.3016495495962015e-05,6194347746013793.0,1301649549.5962014,1301649549.5962014,False
1.5625e-05,Ey,1.2352467012671898e-05,-3.8977857155522813e-22,1.2352467012671898e-05,3.1690985380199804e+16,1235246701.2671897,1235246701.2671897,False
1.953125e-05,Ey,1.1325337469191305e-05,-8.675705880495707e-22,1.1325337469191307e-05,1.3054081852466172e+16,1132533746.9191306,1132533746.9191306,False
2.44140625e-05,Ey,9.867780252665972e-06,-2.2757410494034793e-23,9.867780252665972e-06,4.336073410132725e+17,986778025.2665972,986778025.2665972,False
1e-05,Hz,-0.002200052766755652,-0.0021976168597438715,2.4359070117806365e-06,0.0011084311630483838,0.0011084311630483838,0.0011084311630483838,True
1.25e-05,Hz,-0.0021893000255838145,-0.002188686967160658,6.13058423156506e-07,0.0002801032913134285,0.0002801032913134285,0.0002789651073335672,True
1.5625e-05,Hz,-0.002175431962410245,-0.0021775216467049704,2.089684294725308e-06,0.0009596617778231606,0.0009596617778231606,0.0009508865412367001,True
1.953125e-05,Hz,-0.002157617017844748,-0.00216356085449806,5.943836653312176e-06,0.002747247271069308,0.002747247271069308,0.0027046737591942755,True
2.44140625e-05,Hz,-0.0021349390983835285,-0.002146107273112271,1.1168174728742528e-05,0.00520392194214342,0.00520392194214342,0.005081948056243143,True
1e-05,dBzdt,4.369773695515349e-06,4.4881196059095085e-06,1.1834591039415925e-07,0.026368706894159672,0.026368706894159672,0.02634010744250136,True
1.25e-05,dBzdt,4.480698118380087e-06,4.4897427701496744e-06,9.044651769587577e-09,0.002014514468339142,0.002014514468339142,0.002013057304620681,True
1.5625e-05,dBzdt,4.549188113479107e-06,4.490865241508837e-06,5.832287197026988e-08,0.012987001130916725,0.012987001130916725,0.012980851716258186,True
1.953125e-05,dBzdt,4.589911999981193e-06,4.491330145979994e-06,9.858185400119837e-08,0.021949367068781384,0.021949367068781384,0.021941245097732594,True
2.44140625e-05,dBzdt,4.612724705505536e-06,4.4929926976380116e-06,1.1973200786752485e-07,0.026648609495953234,0.026648609495953234,0.026648609495953234,True
